[2026-01-07 20:32:53.033] [info]    [FILE] WindowsBase.dll (16648 bytes)
[2026-01-07 20:32:53.034] [info]  --- End Directory Structure ---
[2026-01-07 20:32:53.035] [info]  Searching for SiaeBridge.exe...
[2026-01-07 20:32:53.036] [info]  Resource path: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources
[2026-01-07 20:32:53.037] [info]    Checking: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\SiaeBridge.exe
[2026-01-07 20:32:53.038] [info]    ✓ FOUND: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\SiaeBridge.exe
[2026-01-07 20:32:53.039] [info]  ✓ libSIAE.dll found at C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\libSIAE.dll
[2026-01-07 20:32:53.045] [info]  WebSocket server started on port 18765
[2026-01-07 20:32:53.046] [info]  Auto-connecting to relay...
[2026-01-07 20:32:53.047] [info]  Connecting to relay: wss://manage.eventfouryou.com/ws/bridge
[2026-01-07 20:32:53.420] [info]  Window shown
[2026-01-07 20:32:56.756] [info]  IPC: bridge:start
[2026-01-07 20:32:56.758] [info]  Starting bridge: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\SiaeBridge.exe
[2026-01-07 20:32:57.198] [info]  [Bridge] READY
[2026-01-07 20:32:57.199] [info]  Bridge READY
[2026-01-07 20:32:57.199] [info]  Starting automatic status polling every 1000ms
[2026-01-07 20:32:57.200] [info]  Broadcasting status: {"bridgeConnected":true,"readerConnected":false,"cardInserted":false,"cardSerial":null,"cardCounter":null,"cardBalance":null,"cardKeyId":null,"pinLocked":false}
[2026-01-07 20:32:57.201] [info]  Starting automatic status polling every 1000ms
[2026-01-07 20:32:57.214] [info]  IPC: checkReader
[2026-01-07 20:32:57.214] [info]  >> Command: CHECK_READER
[2026-01-07 20:32:57.687] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:32:57.687] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:32:58.213] [info]  >> Command: CHECK_READER
[2026-01-07 20:32:58.233] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:32:58.233] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:32:58.234] [info]  Status changed, broadcasting update
[2026-01-07 20:32:58.234] [info]  Broadcasting status: {"bridgeConnected":true,"readerConnected":true,"cardInserted":false,"cardSerial":null,"cardCounter":null,"cardBalance":null,"cardKeyId":null,"pinLocked":true}
[2026-01-07 20:32:59.213] [info]  >> Command: CHECK_READER
[2026-01-07 20:32:59.231] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:32:59.232] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:00.215] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:00.216] [info]  IPC: checkReader
[2026-01-07 20:33:00.233] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:00.233] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:00.234] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:00.249] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:00.250] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:01.229] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:01.250] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:01.251] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:02.243] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:02.279] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:02.279] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:03.227] [info]  IPC: checkReader
[2026-01-07 20:33:03.228] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:03.253] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:03.254] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:03.255] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:03.275] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:03.276] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:04.256] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:04.293] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:04.294] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:05.272] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:05.312] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:05.313] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:06.216] [info]  IPC: checkReader
[2026-01-07 20:33:06.218] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:06.250] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:06.250] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 20:33:06.288] [info]  >> Command: CHECK_READER
[2026-01-07 20:33:06.308] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 20:33:06.309] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
